医療機関名称,郵便番号,住所
牧野記念病院,226-0003,神奈川県横浜市緑区鴨居２－２１－１１
三保町内科・循環器クリニック,226-0015,神奈川県横浜市緑区三保町１８０３－１
坂本内科胃腸科クリニック,226-0019,神奈川県横浜市緑区中山１－６－１ミヨシズシードビル４０２号
さいとうクリニック,226-0021,神奈川県横浜市緑区北八朔町１２０８－１
岩波胃腸科外科医院,226-0022,神奈川県横浜市緑区青砥町１１２２
いのうち内科クリニック,226-0025,神奈川県横浜市緑区十日市場町９０１－１２
医療法人社団　日本厚生団　長津田健診・透析クリニック,226-0027,神奈川県横浜市緑区長津田４－２３－１
さとう内科クリニック,227-0043,神奈川県横浜市青葉区藤が丘１－２８－２０　ファミーユ２Ｆ
医療法人　健究社　スマイル眼科クリニック,227-0062,神奈川県横浜市青葉区青葉台１－６－１２カンゼームビル４階
たけのこメディカルパーク,227-0062,神奈川県横浜市青葉区青葉台２－８－２０パルテ青葉台２Ｆ
医療法人社団やまびこ　青葉台整形外科リウマチ科,227-0062,神奈川県横浜市青葉区青葉台２－９－１ケンプラザビル３Ｆ
汐田総合病院,230-0001,神奈川県横浜市鶴見区矢向１－６－２０
めがね橋小児科,230-0017,神奈川県横浜市鶴見区東寺尾中台１２－３７
医療法人社団　崇英会　冨士見クリニック,230-0026,神奈川県横浜市鶴見区市場富士見町８－８
坂本クリニック,230-0052,神奈川県横浜市鶴見区生麦５－６－２
ふくし内科クリニック,230-0071,神奈川県横浜市鶴見区駒岡４－１８－２０
医療法人社団　古賀クリニック,230-0076,神奈川県横浜市鶴見区馬場７－３０－１
医療法人社団　康心会　ふれあい鶴見ホスピタル,230-0077,神奈川県横浜市鶴見区東寺尾４－４－２２
医療法人社団　悠仁会　ほほえみ内科クリニック,230-0078,神奈川県横浜市鶴見区岸谷１－２２－２２ルミエール大谷１階
うるうクリニック関内馬車道,231-0007,神奈川県横浜市中区弁天通３－４７－２フロール横濱関内３０２号
相生２３クリニック,231-0012,神奈川県横浜市中区相生町１－３モア・グランド関内ビル１Ｆ
馬車道栗山内科クリニック,231-0012,神奈川県横浜市中区相生町５－７８清栄ビル馬車道５階
医療法人　祐清会　雨宮クリニック,231-0015,神奈川県横浜市中区尾上町５－７６明治屋尾上町ビル５Ｆ
医療法人社団　結樹会　スターフィールド・クリニック横浜,231-0016,神奈川県横浜市中区真砂町３－３１アクティオーレ関内３階
うしくぼ消化器・内科クリニック,231-0028,神奈川県横浜市中区翁町１－４－１アルテマリンウェーブビル２Ｆ
久保内科クリニック,231-0048,神奈川県横浜市中区蓬莱町２－３－３
医療法人社団　優和会　湘南健診クリニック　ココットさくら館,231-0062,神奈川県横浜市中区桜木町１－１－７ヒューリックみなとみらい１３階
医療法人社団　ファミリーメディカル　横浜日ノ出町呼吸器内科・内科クリニック,231-0066,神奈川県横浜市中区日ノ出町１－３０－４日ノ出町ビル３Ｆ
医療法人社団　広秀会　みなとクリニック,231-0806,神奈川県横浜市中区本牧町１－７
向井クリニック,231-0861,神奈川県横浜市中区元町１－５１－１－Ｆ－ｆｌａｔ１Ｆ
あずま医院,232-0007,神奈川県横浜市南区清水ケ丘１－２１
北郷耳鼻咽喉科クリニック,232-0056,神奈川県横浜市南区通町１－２
医療法人社団ファミリーメディカル　横浜弘明寺呼吸器内科・内科クリニック,232-0066,神奈川県横浜市南区六ツ川１－８１ＦＨＣビル２階
原整形外科医院,232-0067,神奈川県横浜市南区弘明寺町２６８
医療法人社団　厚済会　上大岡仁正クリニック,233-0002,神奈川県横浜市港南区上大岡西１－１０－１
宮川医院,233-0002,神奈川県横浜市港南区上大岡西１－１２－１７
医療法人　真心会　上永谷さいとうクリニック,233-0013,神奈川県横浜市港南区丸山台１－２－１京急シティ上永谷Ｌウイング２Ｆ
医療法人社団寿啓会　原口小児科医院,233-0013,神奈川県横浜市港南区丸山台３－４１－１
医療法人社団　森豊会　中森内科クリニック,234-0051,神奈川県横浜市港南区日野８－８－７
医療法人社団成澤会　清水橋クリニック,234-0053,神奈川県横浜市港南区日野中央１－１９－４
うるうクリニック港南台,234-0054,神奈川県横浜市港南区港南台３－３－１港南台２１４ビルＢ１－０１－Ｂ
医療法人横浜グリーンクリニック,234-0054,神奈川県横浜市港南区港南台４－２２－９パークハウス港南台１Ｆ
医療法人社団　湘南太陽会　ねぎし泌尿器科・内科,235-0005,神奈川県横浜市磯子区東町１５－３２－２Ｆ
医療法人　栗木会　遠藤内科,235-0041,神奈川県横浜市磯子区栗木１－２８－２７
奥田内科,235-0045,神奈川県横浜市磯子区洋光台３－１－１ショップ２７－２階
川畑内科クリニック,236-0016,神奈川県横浜市金沢区谷津町３４３
医療法人さくら会　金沢さくら医院,236-0016,神奈川県横浜市金沢区谷津町３５ＶＩＣＳビル３Ｆ・４Ｆ
医療法人社団　湘南太陽会　鳥居泌尿器科・内科,236-0042,神奈川県横浜市金沢区釜利谷東２－２１－２２　クリニックビル別館
草川クリニック　内科・循環器内科,236-0053,神奈川県横浜市金沢区能見台通４－１－２Ｆ
医療法人　優和会　湘南健康管理センター,237-0063,神奈川県横須賀市追浜東町３－５３－１２
水口整形外科,238-0011,神奈川県横須賀市米が浜通２－４
医療法人社団　原医院,238-0034,神奈川県横須賀市金谷２－１－２２
三浦海岸つばさクリニック,238-0101,神奈川県三浦市南下浦町上宮田３２０２－１４
医療法人社団　啓寿会　石橋クリニック,239-0808,神奈川県横須賀市大津町１－８－３２
めぐみケアクリニック,239-0831,神奈川県横須賀市久里浜１－１１－７
医療法人社団　ナイズ　キャップスクリニック天王町,240-0001,神奈川県横浜市保土ケ谷区川辺町３－５イオン天王町ショッピングセンター３Ｆ
医療法人社団　平郁会　みんなの天王町クリニック,240-0003,神奈川県横浜市保土ケ谷区天王町２－３８－３　横浜天王町ＡＴビル１Ｆ
天王町セントラルクリニック,240-0003,神奈川県横浜市保土ケ谷区天王町２－４５－８
吉田クリニック,240-0006,神奈川県横浜市保土ケ谷区星川１－１５－２０
保土ヶ谷あだちクリニック,240-0013,神奈川県横浜市保土ケ谷区帷子町１－１７ＹＧＹ　２０３
清水ケ丘セツルメント診療所,240-0023,神奈川県横浜市保土ケ谷区岩井町２２２－１
一般財団法人　育生会　横浜病院,240-0025,神奈川県横浜市保土ケ谷区狩場町２００－７
古川医院,240-0041,神奈川県横浜市保土ケ谷区東川島町２０－１９
医療法人社団　日輝会　うなやま整形外科,240-0052,神奈川県横浜市保土ケ谷区西谷４－５－１
医療法人社団　晃徳会　横山医院,240-0064,神奈川県横浜市保土ケ谷区峰岡町２－１１８
医療法人順正会　横浜鶴ヶ峰病院,241-0011,神奈川県横浜市旭区川島町１７６４
医療法人順正会　横浜鶴ヶ峰病院付属予防医療クリニック,241-0022,神奈川県横浜市旭区鶴ケ峰２－８２－１ココロット鶴ヶ峰５Ｆ
医療法人社団　明珠会　若葉台クリニック,241-0801,神奈川県横浜市旭区若葉台１－３－１１６
希望ヶ丘駅前クリニック,241-0825,神奈川県横浜市旭区中希望が丘１３１ロケッティア２Ｆ
医療法人社団　悠仁会　中希望が丘診療所,241-0825,神奈川県横浜市旭区中希望が丘９４－６－１Ｆ
和田クリニック,242-0006,神奈川県大和市南林間５－１１－２５
もみの木医院,242-0016,神奈川県大和市大和南２－６－５
あいクリニック泌尿器科・皮膚科,242-0023,神奈川県大和市渋谷５－２５－１高座渋谷西口駅前日の出屋ビル２Ｆ
公益財団法人　健康予防医学財団　ヘルスケアクリニック厚木,243-0014,神奈川県厚木市旭町１－２５－１本厚木ミハラス３階
医療法人社団　厚泉会　厚木中町クリニック,243-0018,神奈川県厚木市中町４－１０－２ハラダ中町ビル１階
社会医療法人社団　三思会　東名厚木メディカルサテライトクリニック,243-0034,神奈川県厚木市船子２２４
医療法人鉄蕉会　亀田森の里病院,243-0122,神奈川県厚木市森の里３－１－１
あらかわクリニック,243-0201,神奈川県厚木市上荻野１１６４－１上荻野郵便局２階
もり整形外科眼科,243-0401,神奈川県海老名市東柏ケ谷２－２９－１６－１０１
キャップスクリニック海老名,243-0432,神奈川県海老名市中央１－６－１マルイファミリー海老名３Ｆ
医療法人社団タムラ　海老名耳鼻咽喉科クリニック,243-0432,神奈川県海老名市中央２－２－１７
医療法人　横浜未来ヘルスケアシステム　戸塚共立第１病院,244-0003,神奈川県横浜市戸塚区戸塚町１１６
医療法人　横浜未来ヘルスケアシステム　戸塚共立あさひクリニック,244-0003,神奈川県横浜市戸塚区戸塚町１１６－１５Ｃ．Ｉスクエア２階
医療法人社団道愛会　しばた医院,244-0003,神奈川県横浜市戸塚区戸塚町２８１０－８土屋クリニックビル１Ｆ
